model,psnr,cossim
uni_v1,45dB,0.50158215
uni_v1,45dB,0.68052673
uni_v1,45dB,0.6361808
uni_v1,45dB,0.56759226
uni_v1,45dB,0.24183434
uni_v1,45dB,0.39556992
uni_v1,45dB,0.31486
uni_v1,45dB,0.5448108
uni_v1,45dB,0.60278326
uni_v1,45dB,0.74607754
uni_v1,45dB,0.36461028
uni_v1,45dB,0.495059
uni_v1,45dB,0.5984616
uni_v1,45dB,0.39017725
uni_v1,45dB,0.51988757
uni_v1,45dB,0.5132205
uni_v1,45dB,0.40315038
uni_v1,45dB,0.5152574
uni_v1,45dB,0.46492398
uni_v1,45dB,0.58650935
uni_v1,45dB,0.64171255
uni_v1,45dB,0.09982075
uni_v1,45dB,0.45938918
uni_v1,45dB,0.43650287
uni_v1,45dB,0.38013402
uni_v1,45dB,0.19718163
uni_v1,45dB,0.3579795
uni_v1,45dB,0.44596937
uni_v1,45dB,0.16709541
uni_v1,45dB,0.47451898
uni_v1,45dB,0.5964515
uni_v1,45dB,0.47214934
uni_v1,45dB,0.63262427
uni_v1,45dB,0.29553068
uni_v1,45dB,0.3849572
uni_v1,45dB,0.6167535
uni_v1,45dB,0.4219276
uni_v1,45dB,0.55374867
uni_v1,45dB,0.6481942
uni_v1,45dB,0.5260372
uni_v1,45dB,0.28429478
uni_v1,45dB,0.59850895
uni_v1,45dB,0.4463519
uni_v1,45dB,0.65277207
uni_v1,45dB,0.47779134
uni_v1,45dB,0.30174547
uni_v1,45dB,0.48973784
uni_v1,45dB,0.48970443
uni_v1,45dB,0.5534332
uni_v1,45dB,0.31310672
uni_v1,45dB,0.4574529
uni_v1,45dB,0.3930729
uni_v1,45dB,0.28769118
uni_v1,45dB,0.60450673
uni_v1,45dB,0.6282941
uni_v1,45dB,0.36811423
uni_v1,45dB,0.588013
uni_v1,45dB,0.48613527
uni_v1,45dB,0.34645116
uni_v1,45dB,0.2868283
uni_v1,45dB,0.4840299
uni_v1,45dB,0.49842665
uni_v1,45dB,0.57243323
uni_v1,45dB,0.10848341
uni_v1,45dB,0.25647905
uni_v1,45dB,0.43689257
uni_v1,45dB,0.0748656
uni_v1,45dB,0.50741744
uni_v1,45dB,0.5201251
uni_v1,45dB,0.38737857
uni_v1,45dB,0.4090181
uni_v1,45dB,0.44879848
uni_v1,45dB,0.56749845
uni_v1,45dB,0.3395736
uni_v1,45dB,0.38606545
uni_v1,45dB,0.42717844
uni_v1,45dB,0.72177464
uni_v1,45dB,0.60114694
uni_v1,45dB,0.69168425
uni_v1,45dB,0.4515134
uni_v1,45dB,0.55724776
uni_v1,45dB,0.5071491
uni_v1,45dB,0.4956243
uni_v1,45dB,0.6727514
uni_v1,45dB,0.35791737
uni_v1,45dB,0.37272692
uni_v1,45dB,0.43108633
uni_v1,45dB,0.26371002
uni_v1,45dB,0.3813619
uni_v1,45dB,0.59519327
uni_v1,45dB,0.43522966
uni_v1,45dB,0.4204808
uni_v1,45dB,0.5721781
uni_v1,45dB,0.46536857
uni_v1,45dB,0.4028733
uni_v1,45dB,0.6530317
uni_v1,45dB,0.5491781
uni_v1,45dB,0.4029743
uni_v1,45dB,0.36102608
uni_v1,45dB,0.47092295
uni_v1,45dB,0.55640334
uni_v1,45dB,0.36840096
uni_v1,45dB,0.5801101
uni_v1,45dB,0.5659057
uni_v1,45dB,0.51769096
uni_v1,45dB,0.5903649
uni_v1,45dB,0.28356332
uni_v1,45dB,0.4797786
uni_v1,45dB,0.3274215
uni_v1,45dB,0.525652
uni_v1,45dB,0.45363867
uni_v1,45dB,0.44663966
uni_v1,45dB,0.58618486
uni_v1,45dB,0.38663808
uni_v1,45dB,0.84422934
uni_v1,45dB,0.40695965
uni_v1,45dB,0.3921019
uni_v1,45dB,0.4773815
uni_v1,45dB,0.48239335
uni_v1,45dB,0.5704999
uni_v1,45dB,0.3857412
uni_v1,45dB,0.36883473
uni_v1,45dB,0.44474036
uni_v1,45dB,0.5800089
uni_v1,45dB,0.45366466
uni_v1,45dB,0.56641173
uni_v1,45dB,0.47641128
uni_v1,45dB,0.38258028
uni_v1,45dB,0.47380137
uni_v1,45dB,0.5177814
uni_v1,45dB,0.55110514
uni_v1,45dB,0.45187956
uni_v1,45dB,0.53221494
uni_v1,45dB,0.42757323
uni_v1,45dB,0.44636166
uni_v1,45dB,0.14190547
uni_v1,45dB,0.50094193
uni_v1,45dB,0.4956092
uni_v1,45dB,0.399541
uni_v1,45dB,0.38192976
uni_v1,45dB,0.61147314
uni_v1,45dB,0.6149241
uni_v1,45dB,0.36096394
